T,O2,H2,OH
3000.0,-59440771356190.94,96698545593163.78,473805644735941.75
3010.0,-59875915717866.94,96665472123486.36,475932421147363.6
3020.0,-60305373182824.55,96631366992356.33,478061361623955.75
3030.0,-60729238946529.016,96596230311280.0,480192577101424.0
3040.0,-61147606150428.22,96560062092710.86,482326176208483.2
3050.0,-61560565936994.375,96522862251836.86,484462265327064.9
3060.0,-61968207503036.5,96484630608362.31,486600948650668.1
3070.0,-62370618151344.39,96445366888266.4,488742328240930.0
3080.0,-62767883340720.086,96405070725550.83,490886504082453.6
3090.0,-63160086734462.78,96363741663973.98,493033574135984.9
3100.0,-63547310247354.2,96321379158766.05,495183634389973.75
3110.0,-63929634091198.76,96277982578334.03,497336778910593.06
3120.0,-64307136818969.05,96233551205950.95,499493099890236.94
3130.0,-64679895367609.984,96188084241431.31,501652687694605.94
3140.0,-65047985099540.75,96141580802793.52,503815630908368.5
3150.0,-65411479842904.234,96094039927908.0,505982016379483.2
3160.0,-65770451930607.53,96045460576130.66,508151929262224.3
3170.0,-66124972238191.32,95995841629931.97,510325453058932.56
3180.0,-66475110220570.87,95945181896498.39,512502669660566.0
3190.0,-66820933947691.61,95893480109337.73,514683659386068.44
3200.0,-67162510139117.81,95840734929856.12,516868501020595.75
3210.0,-67499904197622.516,95786944948938.8,519057271852663.4
3220.0,-67833180241774.24,95732108688507.1,521250047710196.0
3230.0,-68162401137586.87,95676224603068.02,523446902995596.9
3240.0,-68487628529244.805,95619291081252.31,525647910719785.75
3250.0,-68808922868936.05,95561306447345.72,527853142535289.9
3260.0,-69126343445834.664,95502268962800.33,530062668768414.44
3270.0,-69439948414243.23,95442176827739.1,532276558450499.25
3280.0,-69749794820936.94,95381028182455.73,534494879348312.4
3290.0,-70055938631729.13,95318821108894.89,536717697993604.1
3300.0,-70358434757281.92,95255553632127.61,538945079711839.5
3310.0,-70657337078192.4,95191223721816.31,541177088650143.75
3320.0,-70952698469373.42,95125829293668.08,543413787804491.8
3330.0,-71244570823748.9,95059368210882.78,545655239046141.6
3340.0,-71533005075296.94,94991838285584.61,547901503147370.8
3350.0,-71818051221443.3,94923237280251.44,550152639806497.75
3360.0,-72099758344848.14,94853562909134.33,552408707672249.44
3370.0,-72378174634581.97,94782812839661.39,554669764367468.94
3380.0,-72653347406728.78,94710984693844.02,556935866512184.75
3390.0,-72925323124429.45,94638076049666.7,559207069746088.4
3400.0,-73194147417368.06,94564084442471.5,561483428750397.5
3410.0,-73459865100744.28,94489007366335.19,563764997269151.5
3420.0,-73722520193729.2,94412842275434.92,566051828129967.5
3430.0,-73982155937421.92,94335586585414.31,568343973264214.8
3440.0,-74238814812333.55,94257237674736.19,570641483726711.0
3450.0,-74492538555398.64,94177792886020.53,572944409714881.8
3460.0,-74743368176540.92,94097249527401.16,575252800587435.2
3470.0,-74991343974795.86,94015604873843.66,577566704882553.5
3480.0,-75236505554015.47,93932856168477.03,579886170335636.2
3490.0,-75478891838154.55,93849000623916.48,582211243896566.8
3500.0,-75718541086163.78,93764035423575.06,584541971746567.2
